Distance_(mm)	Gray_Value
20.0734	225.8449
20.1010	225.3869
20.1286	225.0763
20.1562	222.5787
20.1838	220.4110
20.2114	216.9489
20.2390	216.0000
20.2666	213.7298
20.2943	209.2793
20.3219	205.8054
20.3495	202.1242
20.3771	198.1746
20.4047	193.5512
20.4323	189.4551
20.4599	188.1125
20.4875	187.3440
20.5151	185.4937
20.5428	184.1877
20.5704	183.9917
20.5980	183.3109
20.6256	182.2858
20.6532	181.7345
20.6808	180.6822
20.7084	179.8531
20.7360	178.9147
20.7636	176.8495
20.7913	177.5524
20.8189	179.0000
20.8465	179.9845
20.8741	181.0000
20.9017	180.5329
20.9293	180.4298
20.9569	179.8386
20.9845	179.1214
21.0121	181.2394
21.0398	184.9055
21.0674	189.2597
21.0950	194.9073
21.1226	198.9050
21.1502	202.3371
21.1778	208.5558
21.2054	214.9657
21.2330	218.1271
21.2606	219.2742
21.2883	220.8177
21.3159	223.3709
21.3435	224.1920
21.3711	224.9445
21.3987	225.1271
21.4263	227.0710
21.4539	227.0887
21.4815	227.2484
21.5091	227.5982
21.5368	228.5678
21.5644	228.7724
21.5920	229.1351
21.6196	229.8603
21.6472	229.0000
21.6748	229.0419
21.7024	229.5743
21.7300	230.0893
21.7577	231.0119
21.7853	230.9948
21.8129	230.7921
21.8405	230.0263
21.8681	230.5157
21.8957	230.3512
21.9233	230.0000
21.9509	230.0000
21.9785	230.0000
22.0062	229.0366
22.0338	228.5793
22.0614	228.3978
22.0890	230.0893
22.1166	229.1654
22.1442	228.0264
22.1718	227.0852
22.1994	226.1248
22.2270	226.3792
22.2547	226.2799
22.2823	226.9576
22.3099	227.7597
22.3375	226.9512
22.3651	225.3288
22.3927	223.0470
22.4203	221.1294
22.4479	217.0286
22.4755	213.7499
22.5032	210.9473
22.5308	210.5467
22.5584	207.7684
22.5860	203.8409
22.6136	198.6783
22.6412	192.9730
22.6688	188.4711
22.6964	186.1568
22.7240	184.5982
22.7517	182.8246
22.7793	181.8500
22.8069	183.0591
22.8345	183.3406
22.8621	182.7665
22.8897	182.8271
22.9173	183.3029
22.9449	183.5589
22.9725	182.6438
23.0002	181.4459
23.0278	181.7119
23.0554	181.6485
23.0830	183.1469
23.1106	186.3789
23.1382	190.6823
23.1658	195.7378
23.1934	201.2250
23.2210	207.3274
23.2487	211.7245
23.2763	215.5100
23.3039	217.4585
23.3315	219.4104
23.3591	221.0015
23.3867	223.8227
23.4143	226.0000
23.4419	226.7444
23.4695	228.4741
23.4972	229.0000
23.5248	229.0000
23.5524	229.0584
23.5800	229.5366
23.6076	230.1271
23.6352	231.2109
23.6628	233.1797
23.6904	234.1754
23.7180	235.1489
23.7457	235.5975
23.7733	234.9914
23.8009	234.2976
23.8285	233.5306
23.8561	232.9237
23.8837	232.3921
23.9113	233.7648
23.9389	235.4241
23.9665	234.9139
23.9942	233.4249
24.0218	233.1004
24.0494	234.1322
24.0770	235.2457
24.1046	234.1534
24.1322	232.8466
24.1598	232.2654
24.1874	232.0032
24.2150	231.1004
24.2427	231.2187
24.2703	231.3784
24.2979	231.5381
24.3255	230.7922
24.3531	230.0918
24.3807	229.1045
24.4083	227.2411
24.4359	226.1448
24.4636	226.0000
24.4912	226.8300
24.5188	227.1507
24.5464	226.2000
24.5740	224.4156
24.6016	220.1019
24.6292	215.5833
24.6568	209.5681
24.6844	204.0521
24.7121	198.5529
24.7397	192.7405
24.7673	188.7845
24.7949	186.8958
24.8225	187.1065
24.8501	187.2679
24.8777	187.0375
24.9053	186.3589
24.9329	187.1243
24.9606	187.2416
24.9882	185.7934
25.0158	184.5922
25.0434	183.5718
25.0710	183.0000
25.0986	183.0000
25.1262	182.6375
25.1538	180.9055
25.1814	179.1334
25.2091	181.2247
25.2367	184.4416
25.2643	186.5598
25.2919	188.6186
25.3195	190.3566
25.3471	192.8792
25.3747	195.7081
25.4023	199.6577
25.4299	203.4356
25.4576	206.4785
25.4852	209.2826
25.5128	213.2269
25.5404	218.0131
25.5680	222.0331
25.5956	224.3636
25.6232	227.9071
25.6508	229.1094
25.6784	230.1002
25.7061	231.7704
25.7337	231.7781
25.7613	231.4991
25.7889	232.8766
25.8165	232.7745
25.8441	231.6766
25.8717	231.5144
25.8993	235.0374
25.9269	235.2077
25.9546	235.8798
25.9822	236.0200
26.0098	237.6978
26.0374	238.5255
26.0650	239.2410
26.0926	238.8740
26.1202	237.0000
26.1478	237.0000
26.1754	237.0000
26.2031	237.0492
26.2307	237.9737
26.2583	237.1201
26.2859	236.9886
26.3135	236.0011
26.3411	236.0000
26.3687	236.0000
26.3963	234.7270
26.4239	233.8867
26.4516	233.0590
26.4792	233.1664
26.5068	233.3143
26.5344	233.4740
26.5620	231.3015
26.5896	228.7420
26.6172	227.2739
26.6448	227.0000
26.6725	228.6703
26.7001	229.0000
26.7277	228.5206
26.7553	228.0503
26.7829	225.7153
26.8105	222.4867
26.8381	216.9257
26.8657	212.3950
26.8933	207.2012
26.9210	201.9714
26.9486	197.5167
26.9762	194.5280
27.0038	193.5625
27.0314	191.7566
27.0590	188.3646
27.0866	186.7854
27.1142	186.1940
27.1418	185.9874
27.1695	186.0000
27.1971	185.4041
27.2247	184.7279
27.2523	184.5178
27.2799	185.4635
27.3075	186.0000
27.3351	185.4110
27.3627	185.2553
27.3903	186.5907
27.4180	188.6952
27.4456	191.2120
27.4732	193.0870
27.5008	195.3085
27.5284	198.9013
27.5560	203.5605
27.5836	209.8140
27.6112	216.3326
27.6388	221.1099
27.6665	225.1051
27.6941	227.0670
27.7217	227.3412
27.7493	227.5009
27.7769	227.9920
27.8045	228.8203
27.8321	229.2923
27.8597	230.4333
27.8873	231.4963
27.9150	232.1232
27.9426	232.6188
27.9702	232.9679
27.9978	233.8906
28.0254	234.0979
28.0530	234.2047
28.0806	234.0000
28.1082	234.1803
28.1358	235.0000
28.1635	235.0000
28.1911	234.9136
28.2187	234.2158
28.2463	234.3755
28.2739	234.5839
28.3015	235.0281
28.3291	235.0658
28.3567	234.0000
28.3843	234.0000
28.4120	234.0000
28.4396	234.0004
28.4672	233.7046
28.4948	234.1912
28.5224	235.0189
28.5500	235.8438
28.5776	236.2722
28.6052	235.4980
28.6328	234.6703
28.6605	233.1267
28.6881	232.0841
28.7157	231.1872
28.7433	231.0273
28.7709	231.0000
28.7985	227.0451
28.8261	225.4179
28.8537	222.5901
28.8813	218.6489
28.9090	213.0708
28.9366	207.9874
28.9642	202.6335
28.9918	198.2032
29.0194	194.3276
29.0470	190.7367
29.0746	189.0939
29.1022	187.2198
29.1299	186.5140
29.1575	186.1057
29.1851	184.6216
29.2127	182.6468
29.2403	182.0829
29.2679	181.4478
29.2955	181.0000
29.3231	181.2480
29.3507	181.8500
29.3784	182.6777
29.4060	183.6714
29.4336	184.3825
29.4612	183.7883
29.4888	184.1013
29.5164	186.0761
29.5440	188.5142
29.5716	191.4150
29.5992	194.4989
29.6269	197.1182
29.6545	201.0978
29.6821	207.7696
29.7097	214.3789
29.7373	219.3113
29.7649	223.1476
29.7925	226.2247
29.8201	227.3995
29.8477	229.1608
29.8754	231.0756
29.9030	231.7506
29.9306	232.7653
29.9582	231.9592
29.9858	231.1825
30.0134	232.2121
30.0410	234.0729
30.0686	234.6566
30.0962	235.9244
30.1239	235.8261
30.1515	235.7516
30.1791	235.0000
30.2067	235.0000
30.2343	235.2106
30.2619	236.1981
30.2895	236.8504
30.3171	236.2921
30.3447	236.2383
30.3724	237.3274
30.4000	237.0326
30.4276	235.8855
30.4552	235.0167
30.4828	235.3784
30.5104	236.0000
30.5380	236.0000
30.5656	236.0720
30.5932	237.0944
30.6209	237.8939
30.6485	237.9941
30.6761	237.5615
30.7037	236.4144
30.7313	235.0201
30.7589	235.0000
30.7865	235.0000
30.8141	235.2156
30.8417	232.9485
30.8694	229.3234
30.8970	227.1832
30.9246	225.9847
30.9522	225.1198
